Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.889,624.237,45.193,28.981,63.782,12.444
10.00,133,21.657,545.745,43.703,11.697,99.702,20.852
20.00,132,19.252,607.314,45.611,12.087,102.281,24.004
30.00,129,22.462,397.551,45.293,21.104,97.124,16.977
40.02,129,15.309,723.169,64.327,8.993,187.883,37.499
50.02,127,25.508,422.374,74.605,20.424,192.064,37.093
60.02,127,26.775,719.312,63.667,19.738,145.054,27.874
70.02,127,12.910,391.046,53.596,11.692,137.417,29.481
80.02,124,20.780,606.255,58.399,11.881,159.946,32.615
90.02,124,18.479,691.913,47.186,14.418,101.319,23.278
100.02,123,27.990,676.753,47.370,19.030,92.134,18.864
110.02,122,23.068,452.891,55.982,12.150,135.807,28.683
120.00,122,19.304,819.478,51.562,27.910,94.184,15.030
130.02,122,23.927,652.213,55.089,24.655,106.465,17.658
140.00,122,19.560,359.481,52.088,18.060,118.576,20.032
150.02,122,24.437,648.335,62.561,10.793,162.725,31.029
160.00,122,31.460,321.268,42.854,18.120,95.282,13.065
170.02,122,23.315,219.687,102.746,4.807,270.845,57.998
180.02,122,25.495,304.527,53.121,19.656,114.195,21.392
