Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.070,552.258,42.306,30.899,55.812,8.065
10.00,149,8.642,408.692,20.584,0.476,48.784,13.966
20.00,149,3.046,270.493,30.532,0.231,102.194,23.415
30.00,149,2.618,141.159,31.521,0.039,109.183,26.066
40.00,149,5.802,160.759,7.757,0.086,34.093,6.849
50.02,149,13.422,1167.813,5.587,0.102,20.668,4.004
60.02,149,7.937,744.859,3.106,0.018,31.908,4.313
70.02,149,4.562,147.715,3.712,0.040,18.945,4.719
80.02,149,2.943,433.596,1.302,0.036,5.548,0.861
90.02,149,4.857,350.301,2.279,0.613,16.193,2.022
100.02,149,0.211,92.721,1.826,0.497,8.630,1.197
110.02,149,0.103,123.310,1.516,0.467,4.042,0.868
120.02,149,5.643,282.591,7.024,1.583,22.828,4.561
130.02,149,9.551,273.754,21.529,20.202,37.645,2.655
140.02,149,4.168,1256.044,2.241,0.000,39.859,4.872
150.02,149,7.822,479.676,2.658,0.002,25.578,3.111
160.01,149,1.286,184.368,1.922,0.479,13.262,1.501
170.00,149,1.199,764.762,28.679,27.844,32.416,0.731
180.02,149,2.398,127.218,1.291,0.005,4.490,0.858
