Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,42.845,770.057,52.958,25.297,86.237,18.354
10.02,150,23.299,771.474,53.191,19.391,109.704,23.551
20.02,150,29.674,965.927,56.578,25.335,116.939,22.464
30.02,150,25.929,450.438,57.409,20.749,122.308,23.681
40.02,150,27.864,479.141,119.870,26.804,264.430,56.851
50.02,150,28.518,720.705,78.786,20.455,186.923,40.920
60.02,150,27.668,967.456,75.220,27.711,163.232,30.035
70.02,150,26.684,413.797,68.431,19.913,157.979,34.102
80.02,150,26.010,603.066,85.216,20.575,201.664,42.632
90.02,150,28.958,635.893,134.618,14.866,330.886,73.685
100.02,150,26.053,893.887,70.920,22.884,167.243,31.522
110.02,150,24.094,375.923,93.962,18.798,223.224,52.593
120.02,150,26.394,487.879,63.852,17.817,146.170,32.809
130.02,150,26.609,866.435,62.565,19.149,139.175,30.726
140.02,150,25.751,619.443,65.240,21.299,153.076,31.278
150.02,150,26.117,808.796,53.824,21.065,110.255,22.607
160.02,150,26.452,853.191,71.063,22.289,159.023,32.194
170.01,150,25.402,469.989,52.834,19.654,111.015,23.488
180.01,150,21.480,786.732,65.470,16.886,152.280,33.165
