Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,41.848,575.648,44.244,23.878,66.604,13.443
10.02,135,17.837,646.042,44.580,7.647,112.258,24.720
20.02,129,18.559,705.013,41.718,12.380,111.945,20.810
30.02,119,16.421,436.472,40.579,12.209,93.967,19.045
40.02,100,30.283,675.338,47.891,18.893,104.193,21.495
50.02,98,30.472,628.065,49.508,12.547,111.776,24.457
60.02,90,26.214,639.339,47.563,9.843,105.764,24.537
70.02,82,16.781,832.382,36.768,11.198,72.912,17.718
80.02,74,25.370,692.018,35.929,12.835,77.467,17.600
90.02,67,34.142,720.130,42.955,15.327,82.529,18.223
100.02,63,33.722,730.016,32.580,13.488,65.123,14.048
110.02,51,40.696,625.214,28.734,12.154,55.574,12.104
120.02,48,38.488,538.980,34.738,16.006,64.560,12.879
130.02,42,33.082,577.179,36.940,21.269,57.147,10.224
140.02,31,38.079,733.153,25.669,9.291,54.663,10.806
150.01,29,34.689,638.446,29.600,19.867,42.133,6.754
160.02,21,76.033,547.191,39.792,15.254,85.574,19.002
170.02,15,74.688,862.500,27.288,21.033,37.366,4.382
180.02,14,24.267,596.790,28.006,20.984,38.934,6.513
