Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,43.109,615.250,49.444,28.471,72.854,14.220
10.01,150,8.453,679.537,19.431,2.486,42.473,12.077
20.00,150,3.923,493.359,19.097,0.341,59.758,14.375
30.02,150,1.470,717.436,11.611,1.707,31.208,7.747
40.00,150,1.431,798.622,13.553,2.066,32.611,8.384
50.01,150,3.581,1160.972,4.595,0.197,16.618,3.966
60.01,150,1.667,363.237,4.865,0.063,22.932,5.224
70.00,150,3.717,417.193,2.112,0.048,9.495,2.210
80.01,150,3.282,315.190,2.126,0.051,6.976,1.559
90.00,150,3.216,456.944,2.113,0.059,11.521,2.125
100.03,150,0.425,686.079,3.114,0.031,12.456,2.414
110.00,150,0.247,514.004,9.548,0.020,26.865,8.584
120.01,150,0.461,611.314,4.497,0.078,16.142,3.151
130.00,150,0.216,133.756,15.759,0.010,44.524,17.438
140.02,150,0.285,423.215,2.704,0.018,28.878,4.851
150.00,150,5.341,795.891,1.476,0.005,4.954,0.994
160.00,150,2.205,484.464,1.440,0.012,4.185,0.969
170.00,150,3.844,1003.692,10.957,0.018,33.893,10.300
180.00,150,1.475,367.168,15.971,0.003,66.661,19.131
