Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.830,581.681,47.641,30.393,68.711,12.272
10.00,21,58.679,584.559,48.131,23.874,82.223,18.841
20.00,0,0.000,0.000,0.000,0.000,0.000,0.000
30.00,0,0.000,0.000,0.000,0.000,0.000,0.000
40.00,0,0.000,0.000,0.000,0.000,0.000,0.000
50.00,0,0.000,0.000,0.000,0.000,0.000,0.000
60.00,0,0.000,0.000,0.000,0.000,0.000,0.000
70.00,0,0.000,0.000,0.000,0.000,0.000,0.000
80.00,0,0.000,0.000,0.000,0.000,0.000,0.000
90.00,0,0.000,0.000,0.000,0.000,0.000,0.000
100.00,0,0.000,0.000,0.000,0.000,0.000,0.000
110.02,0,0.000,0.000,0.000,0.000,0.000,0.000
120.00,0,0.000,0.000,0.000,0.000,0.000,0.000
130.00,0,0.000,0.000,0.000,0.000,0.000,0.000
140.02,0,0.000,0.000,0.000,0.000,0.000,0.000
150.02,0,0.000,0.000,0.000,0.000,0.000,0.000
160.02,0,0.000,0.000,0.000,0.000,0.000,0.000
170.00,0,0.000,0.000,0.000,0.000,0.000,0.000
180.02,0,0.000,0.000,0.000,0.000,0.000,0.000
