Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,43.857,430.127,51.417,29.133,75.794,14.703
10.00,150,21.946,599.723,46.483,20.142,99.571,17.864
20.02,150,27.165,421.347,78.411,25.959,185.536,37.131
30.02,150,20.566,1178.064,51.433,17.963,115.292,20.079
40.02,150,19.662,454.714,70.433,14.930,189.010,35.936
50.02,150,19.651,276.287,81.883,27.271,195.365,35.034
60.01,150,18.012,716.557,113.108,5.060,351.655,60.121
70.02,150,20.768,231.918,157.787,11.319,428.722,97.168
80.02,150,19.781,907.665,59.026,13.926,146.813,28.597
90.02,150,22.347,412.026,77.177,18.557,171.714,35.541
100.02,150,26.505,875.035,87.248,20.208,209.222,42.299
110.02,150,22.760,529.245,68.068,15.782,166.122,33.942
120.02,144,25.610,511.414,51.110,16.035,105.096,20.977
130.01,144,24.097,377.267,50.532,14.725,109.999,22.101
140.01,144,27.511,457.693,180.234,11.256,528.067,104.257
150.02,144,15.417,147.782,71.098,26.008,180.865,28.993
160.01,144,25.104,604.896,59.780,16.189,128.122,28.793
170.02,143,26.935,1036.360,56.639,17.519,137.826,28.071
180.01,143,23.844,304.039,63.121,24.962,130.721,27.194
