Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.430,791.098,45.615,27.186,66.608,12.125
10.00,150,24.847,917.122,78.672,20.658,181.213,37.668
20.00,150,22.306,817.647,65.610,14.179,147.526,31.373
30.00,150,23.775,784.402,63.617,13.457,161.234,33.247
40.00,150,16.447,744.996,52.426,15.460,105.434,20.248
50.00,150,23.971,788.305,71.037,11.229,186.339,35.653
60.00,150,23.993,882.578,76.494,15.702,187.459,41.149
70.00,150,26.118,380.750,48.848,15.226,105.157,21.894
80.00,150,22.100,556.405,59.100,19.092,136.710,25.778
90.00,150,21.710,424.549,87.486,15.304,225.993,44.809
100.01,150,24.179,486.198,56.988,11.544,134.805,27.145
110.00,150,25.033,643.554,65.104,21.731,141.350,27.651
120.00,150,25.082,1072.627,70.643,22.852,146.890,29.858
130.02,150,24.742,622.415,67.770,14.927,179.195,36.038
140.00,150,23.184,1077.581,73.759,25.576,164.896,27.459
150.02,150,21.032,382.883,61.000,22.756,125.955,23.407
160.00,150,21.296,766.065,53.203,11.850,123.704,27.959
170.02,150,20.996,749.366,66.257,12.441,162.893,33.482
180.00,150,21.193,418.314,63.814,12.762,157.573,32.840
