Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,47.094,557.419,49.420,30.778,71.790,13.064
10.00,146,23.292,491.880,50.271,10.707,116.710,28.220
20.00,139,25.615,565.833,56.573,23.771,115.112,23.233
30.00,135,25.118,428.477,41.374,11.800,108.458,20.764
40.00,135,19.427,506.790,47.541,10.258,119.331,25.404
50.00,135,24.702,552.911,49.855,12.648,118.809,24.200
60.02,135,20.352,777.174,47.410,16.292,109.731,22.496
70.00,131,19.051,799.929,56.195,12.797,142.908,30.085
80.02,130,23.575,484.773,58.373,15.480,134.653,26.965
90.00,130,16.197,560.902,70.485,8.060,196.007,42.015
100.00,130,22.813,1067.824,61.153,18.733,142.607,26.392
110.02,130,22.953,321.163,57.506,16.292,128.991,27.155
120.02,130,18.058,439.597,72.808,12.086,190.008,41.141
130.02,130,20.276,512.040,71.416,10.839,182.029,44.698
140.02,130,19.837,438.850,47.557,16.288,99.493,20.877
150.02,130,19.370,225.029,61.038,12.640,146.382,27.760
160.00,130,19.321,401.569,66.450,14.064,185.075,36.184
170.02,130,23.745,583.373,77.959,14.615,252.958,42.228
180.02,130,23.319,264.448,65.901,15.684,150.853,34.768
