Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.599,603.312,45.434,32.911,59.903,9.002
10.00,129,20.061,539.152,46.848,11.856,106.427,26.438
20.00,112,19.843,718.294,32.496,12.629,63.153,12.475
30.00,111,18.898,582.743,42.178,17.728,88.394,18.116
40.00,96,20.953,687.810,30.187,11.459,63.723,13.343
50.00,93,25.896,657.986,48.532,11.950,110.120,26.250
60.00,85,20.310,646.594,37.163,15.320,74.490,15.928
70.02,82,24.288,546.376,45.280,14.159,92.704,22.023
80.00,81,25.005,528.582,33.477,12.099,74.266,14.487
90.02,77,34.559,561.791,42.600,12.289,93.046,23.026
100.02,75,28.099,790.951,35.323,15.741,64.589,13.241
110.00,64,26.388,596.668,41.098,20.181,68.439,13.886
120.02,50,29.375,560.061,41.222,18.962,75.734,15.849
130.02,48,37.914,698.290,31.266,15.241,56.637,11.321
140.02,47,26.178,733.024,30.671,14.502,57.289,11.359
150.02,46,29.264,802.062,36.881,11.074,71.227,18.272
160.02,44,42.090,604.118,41.147,24.977,60.477,10.013
170.02,33,44.423,697.077,19.742,14.822,26.030,3.772
180.02,32,23.538,591.787,31.938,13.964,56.307,12.890
