Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.686,596.200,45.755,28.089,66.174,12.438
10.00,143,13.952,503.136,49.060,10.905,132.958,25.596
20.00,115,11.345,462.037,35.909,3.761,103.529,22.868
30.02,115,15.673,526.451,29.767,9.483,80.254,14.309
40.00,109,13.113,444.426,30.083,9.699,67.154,15.796
50.00,101,16.953,744.323,20.698,5.359,49.759,10.675
60.00,100,21.846,589.411,23.705,11.341,45.300,8.719
70.00,98,11.496,554.675,23.505,7.254,52.267,11.894
80.00,87,22.085,765.052,29.296,0.992,97.052,20.384
90.00,83,10.848,499.559,27.652,7.167,69.944,15.273
100.00,80,12.934,589.679,15.968,7.461,27.991,5.754
110.02,73,17.981,619.547,27.212,11.778,60.855,14.158
120.02,66,10.270,609.498,27.984,2.451,72.462,17.885
130.02,48,22.567,661.399,19.773,4.238,36.026,9.917
140.02,39,46.035,602.933,35.275,14.917,73.154,16.362
150.02,37,33.002,626.662,19.847,7.309,39.265,10.293
160.02,36,34.750,539.389,29.736,17.612,51.998,8.474
170.02,35,29.582,591.579,13.854,6.337,22.556,5.068
180.02,32,49.270,783.835,34.516,12.838,72.762,12.317
