Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.299,610.302,40.730,28.488,53.463,8.587
10.02,144,19.356,627.752,47.603,13.854,105.047,24.704
20.02,139,17.202,709.119,32.788,10.347,80.946,16.227
30.02,133,20.481,578.233,39.720,9.036,90.513,20.668
40.02,122,13.500,448.762,39.613,6.482,106.132,20.913
50.00,92,19.332,485.295,36.616,10.203,80.447,18.396
60.00,89,26.707,574.297,53.890,8.116,137.577,31.352
70.02,68,29.374,655.042,35.150,8.087,81.169,16.713
80.00,37,37.079,618.982,29.796,12.645,50.745,11.406
90.00,29,46.767,673.180,20.195,12.789,31.499,5.275
100.00,25,72.289,635.404,30.589,17.348,46.877,9.294
110.02,23,65.751,508.870,40.386,7.184,85.159,19.116
120.00,20,55.301,702.936,27.652,20.106,37.781,6.289
130.00,17,50.523,383.525,30.153,24.076,37.693,4.359
140.02,17,76.534,663.035,18.976,8.303,29.823,8.578
150.02,9,79.661,484.808,27.497,18.932,40.116,7.834
160.02,9,162.331,573.847,29.799,22.258,39.593,7.254
170.02,9,144.676,537.705,53.359,18.509,93.390,24.984
180.02,9,80.133,672.819,25.637,23.039,33.204,3.558
