Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.562,552.253,50.009,35.572,68.503,10.324
10.00,134,20.529,519.101,47.782,12.964,106.662,24.359
20.00,121,17.990,655.051,37.979,10.801,90.853,17.707
30.00,114,16.082,680.826,69.062,13.342,208.898,37.898
40.00,96,21.121,643.609,38.073,11.287,80.974,18.420
50.00,76,38.344,646.402,34.825,16.048,70.600,14.140
60.00,68,28.101,800.353,46.657,8.443,104.467,25.460
70.00,59,34.974,622.486,36.327,15.367,71.929,14.115
80.00,56,21.810,532.179,26.950,11.699,53.229,11.449
90.00,54,34.933,677.152,35.776,14.329,70.290,16.618
100.00,47,24.241,503.976,28.559,14.457,53.688,11.274
110.00,45,37.599,522.289,30.006,13.737,63.483,11.396
120.00,44,25.560,604.886,29.249,8.226,59.118,13.470
130.00,40,37.234,599.331,27.860,17.887,43.765,6.180
140.00,39,37.029,740.229,31.921,12.634,54.426,13.587
150.00,38,34.687,591.393,30.090,13.347,60.938,11.388
160.00,35,46.312,706.116,36.459,19.467,61.502,13.875
170.00,29,45.811,552.140,35.575,23.535,63.807,8.917
180.02,18,85.442,565.406,23.821,18.928,29.290,4.006
