Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.480,603.506,45.015,29.711,62.221,10.399
10.00,146,18.142,654.413,39.574,15.183,81.805,16.665
20.00,144,16.022,487.829,38.282,13.233,81.554,18.007
30.02,141,23.436,645.802,42.506,11.653,95.526,20.910
40.00,129,23.751,675.462,62.885,10.020,156.223,34.475
50.02,102,36.014,589.300,42.388,18.424,77.510,16.579
60.00,87,29.453,685.950,42.264,17.454,89.270,17.921
70.02,83,34.881,558.925,51.047,24.448,99.555,18.635
80.02,68,35.315,659.642,52.603,16.487,114.993,26.495
90.00,63,40.411,644.100,36.718,16.639,73.142,15.425
100.02,58,38.891,552.011,34.918,22.955,54.485,8.919
110.02,52,26.982,616.365,37.001,14.839,70.223,15.565
120.02,42,29.678,699.098,41.579,17.030,79.037,17.503
130.00,34,29.343,588.007,35.184,26.564,47.709,6.623
140.00,34,28.360,589.041,36.749,24.496,59.676,10.225
150.00,32,49.093,506.778,50.466,22.639,86.655,17.631
160.00,23,101.670,452.550,41.388,24.640,72.669,12.885
170.02,22,79.215,502.960,37.172,12.956,78.992,20.866
180.02,21,80.420,682.268,31.409,20.729,45.994,9.528
