Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,48.104,636.875,42.571,31.867,54.267,8.348
10.00,112,19.908,751.004,29.216,12.970,57.616,10.684
20.00,90,23.015,649.721,32.181,11.305,67.754,14.283
30.00,73,23.057,568.159,37.686,9.854,84.382,18.907
40.00,70,30.135,588.315,25.769,12.709,49.849,9.600
50.00,65,23.907,558.912,33.555,20.248,63.420,9.871
60.00,60,28.330,673.110,31.034,5.923,65.016,15.816
70.00,54,37.723,720.973,30.917,16.667,60.735,11.093
80.00,42,39.825,820.053,41.078,19.294,81.749,15.247
90.00,37,58.814,707.864,19.421,9.124,42.122,8.667
100.00,33,47.002,565.831,32.189,13.742,60.931,13.939
110.02,32,42.824,574.554,44.085,26.553,75.183,15.019
120.00,32,65.377,568.508,36.186,23.040,63.084,9.863
130.02,29,37.305,532.965,31.496,20.989,49.908,7.679
140.00,27,55.017,561.241,48.089,34.338,79.682,9.542
150.00,27,72.477,629.975,36.555,17.322,76.400,13.779
160.00,26,24.308,478.413,43.433,27.348,69.903,10.672
170.00,26,56.843,719.530,20.878,9.907,38.088,8.508
180.02,25,37.166,569.365,28.214,11.905,52.294,12.247
