Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,45.265,590.320,51.419,28.382,76.838,14.443
10.02,134,19.698,619.186,46.499,7.722,126.500,27.899
20.00,121,12.179,650.947,28.645,11.709,56.065,12.824
30.00,96,20.072,704.084,31.558,11.164,66.559,13.736
40.00,92,26.043,602.854,43.821,13.259,102.600,22.261
50.02,82,29.802,604.065,37.167,19.063,69.874,12.810
60.00,81,27.660,620.604,39.975,14.367,78.430,17.006
70.00,79,26.497,651.863,29.376,12.097,54.128,12.144
80.00,60,29.534,586.899,31.282,15.447,58.049,11.905
90.00,55,25.075,646.615,27.538,12.755,49.412,9.509
100.02,33,46.674,491.954,29.383,14.877,51.326,11.922
110.02,29,42.900,715.656,24.618,13.318,41.634,8.407
120.00,29,47.354,405.988,46.140,21.630,78.126,17.780
130.02,24,72.097,684.995,35.235,7.373,69.745,21.151
140.00,18,59.891,731.372,24.929,18.971,32.805,3.708
150.00,13,81.073,664.521,33.332,30.423,38.848,3.570
160.02,13,89.767,489.067,24.443,22.305,27.937,2.491
170.02,13,75.232,593.718,27.461,21.301,35.272,5.143
180.02,13,59.251,502.704,40.489,25.231,55.302,12.374
