Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,49.056,590.902,49.947,29.724,76.648,14.184
10.00,129,17.152,705.848,42.573,5.047,109.561,26.613
20.00,125,22.067,614.016,36.530,10.994,83.912,18.324
30.00,116,18.882,674.165,44.160,13.997,96.317,20.838
40.00,105,24.852,560.270,43.248,16.227,95.507,18.720
50.00,99,20.670,699.305,32.473,13.315,61.983,13.461
60.00,90,23.862,581.428,29.722,13.463,63.512,11.446
70.00,83,27.442,601.052,35.025,12.629,61.206,14.495
80.00,75,28.853,621.797,43.166,20.461,90.786,16.454
90.00,68,34.541,472.463,41.745,21.255,79.954,14.107
100.00,62,30.430,574.817,38.910,14.238,71.898,15.648
110.02,62,30.476,663.294,41.202,12.219,102.416,19.812
120.00,61,25.568,501.054,55.458,20.615,115.640,23.708
130.02,53,44.680,639.731,29.189,10.474,64.745,13.844
140.00,51,33.604,676.259,33.900,12.692,64.800,14.204
150.00,41,41.113,601.846,39.989,17.785,90.882,16.964
160.00,41,38.684,755.592,36.500,22.595,56.781,8.508
170.00,41,51.645,684.155,36.272,17.800,63.598,12.512
180.02,35,51.588,540.416,57.828,20.149,115.909,24.465
