Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.029,597.464,50.088,29.581,73.796,14.716
10.02,107,22.292,704.919,35.878,10.104,78.993,18.770
20.00,87,24.339,561.283,28.516,11.633,58.209,13.132
30.00,80,26.185,559.815,42.163,14.034,98.118,19.484
40.02,71,18.244,519.157,32.902,12.106,66.072,15.230
50.00,59,36.546,625.991,33.311,17.919,61.737,11.058
60.02,56,35.540,644.384,27.433,12.875,47.090,9.549
70.02,54,36.729,596.807,36.537,14.413,67.720,16.339
80.02,50,32.732,638.314,25.418,15.105,41.709,7.861
90.00,41,30.930,560.571,30.130,14.604,52.770,12.013
100.00,39,19.309,594.410,27.201,12.200,50.592,11.350
110.02,38,26.444,608.586,23.448,13.007,39.915,7.076
120.02,32,39.206,681.622,22.802,13.775,33.903,6.849
130.02,31,68.444,461.698,25.713,12.856,44.633,9.314
140.02,28,67.501,642.511,36.068,23.880,60.430,8.983
150.02,26,26.936,497.839,41.473,22.792,62.633,12.741
160.02,25,49.702,625.604,35.894,13.927,70.362,16.760
170.02,21,96.709,815.126,42.632,11.075,93.428,22.508
180.02,20,79.197,382.925,37.415,12.784,67.883,15.690
