Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,42.208,605.286,47.561,29.947,67.870,12.390
10.02,125,17.287,626.739,39.370,12.880,80.889,18.209
20.00,124,18.052,694.049,34.127,10.973,86.657,16.834
30.00,116,20.471,678.755,44.290,11.150,97.004,23.240
40.00,109,24.054,790.127,31.645,14.389,61.246,12.632
50.00,107,17.821,648.833,45.487,14.245,96.634,20.623
60.00,104,15.178,653.200,30.863,6.286,82.632,16.279
70.00,82,27.368,667.833,40.104,9.443,100.581,22.706
80.02,65,26.733,837.242,35.136,7.372,82.998,18.696
90.00,59,26.144,568.420,46.492,9.029,109.664,27.191
100.00,50,33.890,636.089,36.490,8.982,75.506,17.908
110.00,46,39.695,743.481,37.420,6.553,87.119,22.224
120.02,46,35.384,387.459,43.081,18.984,98.158,17.786
130.00,44,33.786,562.715,36.268,11.304,81.013,16.977
140.02,43,36.398,473.464,25.502,15.066,43.396,7.376
150.00,40,62.179,564.243,24.548,12.622,38.336,8.254
160.00,36,45.916,594.571,34.988,18.574,63.215,13.764
170.02,34,46.952,457.214,41.757,13.764,84.399,20.191
180.02,34,33.329,646.394,36.651,11.326,91.349,19.267
