Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,44.506,557.480,46.249,26.585,68.922,13.551
10.00,126,20.388,640.192,39.402,14.085,89.205,17.046
20.00,124,23.350,676.771,64.467,11.250,170.706,36.364
30.00,122,18.285,520.964,48.345,10.852,122.262,25.496
40.02,111,23.414,493.343,65.121,12.416,170.644,36.674
50.00,101,27.257,719.540,34.846,15.396,70.817,13.203
60.00,91,24.981,551.732,32.428,11.642,60.782,13.955
70.02,86,28.951,606.004,40.428,14.905,82.905,18.047
80.00,78,23.661,625.346,33.349,14.162,64.738,12.886
90.00,74,30.255,579.673,33.967,13.849,69.308,15.296
100.02,74,32.024,769.381,31.142,8.686,65.006,14.865
110.02,71,37.987,616.814,41.362,8.034,104.100,21.630
120.02,69,23.276,425.262,47.559,20.355,109.529,18.197
130.00,67,29.592,497.047,55.097,7.293,163.573,30.765
140.02,56,31.530,719.782,38.047,7.563,94.820,18.801
150.02,53,37.709,626.681,38.914,8.631,104.475,22.525
160.02,49,49.935,545.936,52.860,10.502,134.845,27.638
170.02,47,19.596,580.254,28.560,14.044,52.932,9.768
180.02,33,47.129,696.508,24.167,12.354,38.184,8.592
