Time (s),Prey Population,Avg Nearest Neighbor Distance,Avg Prey-Predator Distance,Cluster Avg Dist,Cluster Min Dist,Cluster Max Dist,Cluster StdDev
0.00,150,46.722,573.669,45.553,29.701,63.141,11.358
10.01,141,22.474,620.092,45.961,22.341,87.630,18.042
20.01,128,25.366,729.649,47.211,19.292,94.790,18.900
30.01,109,19.414,662.434,39.368,16.391,80.292,16.245
40.01,89,28.346,583.461,43.980,25.833,73.472,13.387
50.01,79,27.536,462.391,44.340,19.133,89.813,17.317
60.01,78,30.528,621.087,41.494,18.569,79.216,15.938
70.01,73,32.157,641.185,41.545,17.564,79.043,16.831
80.01,68,29.197,552.626,40.228,21.144,74.736,14.345
90.01,64,52.671,577.899,52.249,23.819,98.674,18.140
100.01,59,32.324,705.242,51.367,23.442,92.066,20.771
110.01,56,48.342,636.794,39.768,21.106,76.477,14.660
120.01,55,49.352,593.155,55.856,17.341,124.143,27.357
130.01,51,42.897,625.017,33.278,16.156,60.861,14.641
140.01,48,60.505,753.016,39.990,27.195,63.669,9.591
150.01,47,51.902,609.701,44.791,16.885,81.910,18.658
160.01,37,63.449,713.774,36.585,22.110,54.417,11.357
170.01,32,38.770,771.924,39.588,19.239,75.968,14.808
180.01,32,35.267,755.239,39.953,17.342,73.389,16.968
